run_id,technology,migration_method,network_migration,checkpoint_ms,checkpoint_us,checkpoint_ns,archive_bytes,transfer_ms,restore_ms,downtime_ms,bandwidth_mbps,src_arch,dst_arch,same_arch,success,notes,timestamp,profile_name,predump_ms,final_dump_ms,total_ms,lazy_pages_active_ms,lazy_pages_log_bytes
30-04-2026-direct-cold-0019,WASM,cold,no,1,147.0,146072.0,2019,3186,1905,5092,0.01,x86_64,x86_64,True,True,transfer_mode=direct;module=3mm_with_cr.wasm,2026-04-30T21:26:19.810527,1_WiFi_6,0,1,11135,0,0
30-04-2026-direct-cold-0020,WASM,cold,no,1,160.0,159349.0,2020,3189,1950,5140,0.01,x86_64,x86_64,True,True,transfer_mode=direct;module=3mm_with_cr.wasm,2026-04-30T21:26:36.487187,1_WiFi_6,0,1,10969,0,0
30-04-2026-direct-cold-0021,WASM,cold,no,1,122.0,121371.0,2019,3812,1978,5791,0.0,x86_64,x86_64,True,True,transfer_mode=direct;module=3mm_with_cr.wasm,2026-04-30T21:26:53.994194,1_WiFi_6,0,1,11822,0,0
30-04-2026-host-cold-0022,WASM,cold,no,1,189.0,188751.0,2018,7371,1994,9366,0.0,x86_64,x86_64,True,True,transfer_mode=host;module=3mm_with_cr.wasm;relay_node=edge-host-1,2026-04-30T21:28:44.638713,1_WiFi_6,0,1,15438,0,0
30-04-2026-host-cold-0023,WASM,cold,no,1,168.0,167029.0,2018,6901,1901,8803,0.0,x86_64,x86_64,True,True,transfer_mode=host;module=3mm_with_cr.wasm;relay_node=edge-host-1,2026-04-30T21:29:05.039349,1_WiFi_6,0,1,14838,0,0
30-04-2026-host-cold-0024,WASM,cold,no,1,165.0,164235.0,2017,7115,1940,9056,0.0,x86_64,x86_64,True,True,transfer_mode=host;module=3mm_with_cr.wasm;relay_node=edge-host-1,2026-04-30T21:29:26.218484,1_WiFi_6,0,1,15565,0,0
30-04-2026-host-cold-0025,WASM,cold,no,1,207.0,206087.0,2018,7300,2037,9338,0.0,x86_64,x86_64,True,True,transfer_mode=host;module=3mm_with_cr.wasm;relay_node=edge-host-1,2026-04-30T21:29:47.121734,1_WiFi_6,0,1,15395,0,0
30-04-2026-host-cold-0026,WASM,cold,no,1,178.0,177026.0,2017,7024,1951,8976,0.0,x86_64,x86_64,True,True,transfer_mode=host;module=3mm_with_cr.wasm;relay_node=edge-host-1,2026-04-30T21:30:07.624667,1_WiFi_6,0,1,14989,0,0
30-04-2026-host-cold-0027,WASM,cold,no,1,129.0,128637.0,2017,7076,2327,9404,0.0,x86_64,x86_64,True,True,transfer_mode=host;module=3mm_with_cr.wasm;relay_node=edge-host-1,2026-04-30T21:30:28.781215,1_WiFi_6,0,1,15630,0,0
30-04-2026-host-cold-0028,WASM,cold,no,1,198.0,197313.0,2017,7292,1993,9286,0.0,x86_64,x86_64,True,True,transfer_mode=host;module=3mm_with_cr.wasm;relay_node=edge-host-1,2026-04-30T21:30:49.867404,1_WiFi_6,0,1,15367,0,0
30-04-2026-host-cold-0029,WASM,cold,no,1,178.0,177005.0,2017,6885,2016,8902,0.0,x86_64,x86_64,True,True,transfer_mode=host;module=3mm_with_cr.wasm;relay_node=edge-host-1,2026-04-30T21:31:10.312373,1_WiFi_6,0,1,14803,0,0
30-04-2026-host-cold-0030,WASM,cold,no,1,128.0,127243.0,2016,7392,2132,9525,0.0,x86_64,x86_64,True,True,transfer_mode=host;module=3mm_with_cr.wasm;relay_node=edge-host-1,2026-04-30T21:31:31.674752,1_WiFi_6,0,1,15651,0,0
30-04-2026-host-cold-0031,WASM,cold,no,1,130.0,129306.0,2017,7118,1975,9094,0.0,x86_64,x86_64,True,True,transfer_mode=host;module=3mm_with_cr.wasm;relay_node=edge-host-1,2026-04-30T21:31:52.491898,1_WiFi_6,0,1,15197,0,0
30-04-2026-direct-cold-0022,WASM,cold,no,1,204.0,203178.0,2021,3056,1915,4972,0.01,x86_64,x86_64,True,True,transfer_mode=direct;module=3mm_with_cr.wasm,2026-04-30T21:32:09.009941,1_WiFi_6,0,1,10883,0,0
30-04-2026-direct-cold-0023,WASM,cold,no,1,140.0,139139.0,2017,2964,1956,4921,0.01,x86_64,x86_64,True,True,transfer_mode=direct;module=3mm_with_cr.wasm,2026-04-30T21:32:25.615367,1_WiFi_6,0,1,10743,0,0
30-04-2026-direct-cold-0024,WASM,cold,no,1,150.0,149800.0,2022,3140,2023,5164,0.01,x86_64,x86_64,True,True,transfer_mode=direct;module=3mm_with_cr.wasm,2026-04-30T21:32:43.176389,1_WiFi_6,0,1,11421,0,0
30-04-2026-direct-cold-0025,WASM,cold,no,1,159.0,158509.0,2018,2982,1967,4950,0.01,x86_64,x86_64,True,True,transfer_mode=direct;module=3mm_with_cr.wasm,2026-04-30T21:32:59.593725,1_WiFi_6,0,1,10785,0,0
30-04-2026-direct-cold-0026,WASM,cold,no,1,127.0,126133.0,2018,2949,1908,4858,0.01,x86_64,x86_64,True,True,transfer_mode=direct;module=3mm_with_cr.wasm,2026-04-30T21:33:15.972957,1_WiFi_6,0,1,10744,0,0
30-04-2026-direct-cold-0027,WASM,cold,no,1,229.0,228322.0,2019,3329,1985,5315,0.0,x86_64,x86_64,True,True,transfer_mode=direct;module=3mm_with_cr.wasm,2026-04-30T21:33:33.523855,1_WiFi_6,0,1,11785,0,0
30-04-2026-direct-cold-0028,WASM,cold,no,1,122.0,121815.0,2020,3114,1961,5076,0.01,x86_64,x86_64,True,True,transfer_mode=direct;module=3mm_with_cr.wasm,2026-04-30T21:33:50.432968,1_WiFi_6,0,1,11167,0,0
30-04-2026-direct-cold-0029,WASM,cold,no,1,146.0,145399.0,2020,2924,2094,5019,0.01,x86_64,x86_64,True,True,transfer_mode=direct;module=3mm_with_cr.wasm,2026-04-30T21:34:07.064597,1_WiFi_6,0,1,10948,0,0
30-04-2026-direct-cold-0030,WASM,cold,no,1,133.0,132751.0,2020,2921,1961,4883,0.01,x86_64,x86_64,True,True,transfer_mode=direct;module=3mm_with_cr.wasm,2026-04-30T21:34:23.419098,1_WiFi_6,0,1,10738,0,0
