metric,transfer_mode,profile_label,benchmark,method_label,successful_rows
downtime,host,TEE Avg,Counter (CRIU),Cold,40
downtime,host,TEE Avg,Counter (CRIU),Pre-copy,39
downtime,host,TEE Avg,Counter (CRIU),Post-copy,40
downtime,host,TEE Avg,TCP Client (CRIU),Cold,36
downtime,host,TEE Avg,TCP Client (CRIU),Pre-copy,30
downtime,host,TEE Avg,TCP Client (CRIU),Post-copy,36
downtime,host,TEE Avg,Game of Life (CRIU),Cold,39
downtime,host,TEE Avg,Game of Life (CRIU),Pre-copy,39
downtime,host,TEE Avg,WebAssembly,Wasm,39
downtime,host,TEE Worst,Counter (CRIU),Cold,30
downtime,host,TEE Worst,Counter (CRIU),Pre-copy,29
downtime,host,TEE Worst,Counter (CRIU),Post-copy,30
downtime,host,TEE Worst,TCP Client (CRIU),Cold,25
downtime,host,TEE Worst,TCP Client (CRIU),Pre-copy,17
downtime,host,TEE Worst,TCP Client (CRIU),Post-copy,10
downtime,host,TEE Worst,WebAssembly,Wasm,30
migration_time,direct,WiFi 6,Counter (CRIU),Cold,40
migration_time,direct,WiFi 6,Counter (CRIU),Pre-copy,39
migration_time,direct,WiFi 6,Counter (CRIU),Post-copy,40
migration_time,direct,WiFi 6,TCP Client (CRIU),Cold,40
migration_time,direct,WiFi 6,TCP Client (CRIU),Pre-copy,39
migration_time,direct,WiFi 6,TCP Client (CRIU),Post-copy,38
migration_time,direct,WiFi 6,Game of Life (CRIU),Cold,40
migration_time,direct,WiFi 6,Game of Life (CRIU),Pre-copy,40
migration_time,direct,WiFi 6,Game of Life (CRIU),Post-copy,40
migration_time,direct,WiFi 6,WebAssembly,Wasm,40
migration_time,direct,5G,Counter (CRIU),Cold,40
migration_time,direct,5G,Counter (CRIU),Pre-copy,40
migration_time,direct,5G,Counter (CRIU),Post-copy,40
migration_time,direct,5G,TCP Client (CRIU),Cold,40
migration_time,direct,5G,TCP Client (CRIU),Pre-copy,39
migration_time,direct,5G,TCP Client (CRIU),Post-copy,40
migration_time,direct,5G,Game of Life (CRIU),Cold,40
migration_time,direct,5G,Game of Life (CRIU),Pre-copy,40
migration_time,direct,5G,Game of Life (CRIU),Post-copy,40
migration_time,direct,5G,WebAssembly,Wasm,40
migration_time,direct,LTE,Counter (CRIU),Cold,39
migration_time,direct,LTE,Counter (CRIU),Pre-copy,40
migration_time,direct,LTE,Counter (CRIU),Post-copy,40
migration_time,direct,LTE,TCP Client (CRIU),Cold,40
migration_time,direct,LTE,TCP Client (CRIU),Pre-copy,40
migration_time,direct,LTE,TCP Client (CRIU),Post-copy,40
migration_time,direct,LTE,Game of Life (CRIU),Cold,40
migration_time,direct,LTE,Game of Life (CRIU),Pre-copy,39
migration_time,direct,LTE,WebAssembly,Wasm,40
migration_time,direct,Starlink,Counter (CRIU),Cold,40
migration_time,direct,Starlink,Counter (CRIU),Pre-copy,40
migration_time,direct,Starlink,Counter (CRIU),Post-copy,40
migration_time,direct,Starlink,TCP Client (CRIU),Cold,40
migration_time,direct,Starlink,TCP Client (CRIU),Pre-copy,39
migration_time,direct,Starlink,TCP Client (CRIU),Post-copy,40
migration_time,direct,Starlink,Game of Life (CRIU),Cold,40
migration_time,direct,Starlink,Game of Life (CRIU),Pre-copy,40
migration_time,direct,Starlink,WebAssembly,Wasm,40
migration_time,direct,TEE Best,Counter (CRIU),Cold,40
migration_time,direct,TEE Best,Counter (CRIU),Pre-copy,40
migration_time,direct,TEE Best,Counter (CRIU),Post-copy,40
migration_time,direct,TEE Best,TCP Client (CRIU),Cold,28
migration_time,direct,TEE Best,TCP Client (CRIU),Pre-copy,37
migration_time,direct,TEE Best,TCP Client (CRIU),Post-copy,34
migration_time,direct,TEE Best,Game of Life (CRIU),Cold,40
migration_time,direct,TEE Best,Game of Life (CRIU),Pre-copy,40
migration_time,direct,TEE Best,WebAssembly,Wasm,40
migration_time,direct,TEE Avg,Counter (CRIU),Cold,40
migration_time,direct,TEE Avg,Counter (CRIU),Pre-copy,39
migration_time,direct,TEE Avg,Counter (CRIU),Post-copy,40
migration_time,direct,TEE Avg,TCP Client (CRIU),Cold,38
migration_time,direct,TEE Avg,TCP Client (CRIU),Pre-copy,28
migration_time,direct,TEE Avg,TCP Client (CRIU),Post-copy,32
migration_time,direct,TEE Avg,Game of Life (CRIU),Cold,40
migration_time,direct,TEE Avg,Game of Life (CRIU),Pre-copy,40
migration_time,direct,TEE Avg,WebAssembly,Wasm,40
migration_time,direct,TEE Worst,Counter (CRIU),Cold,29
migration_time,direct,TEE Worst,Counter (CRIU),Pre-copy,30
migration_time,direct,TEE Worst,Counter (CRIU),Post-copy,30
migration_time,direct,TEE Worst,TCP Client (CRIU),Cold,27
migration_time,direct,TEE Worst,TCP Client (CRIU),Pre-copy,17
migration_time,direct,TEE Worst,TCP Client (CRIU),Post-copy,14
migration_time,direct,TEE Worst,WebAssembly,Wasm,30
migration_time,host,WiFi 6,Counter (CRIU),Cold,40
migration_time,host,WiFi 6,Counter (CRIU),Pre-copy,40
migration_time,host,WiFi 6,Counter (CRIU),Post-copy,40
migration_time,host,WiFi 6,TCP Client (CRIU),Cold,40
migration_time,host,WiFi 6,TCP Client (CRIU),Pre-copy,40
migration_time,host,WiFi 6,TCP Client (CRIU),Post-copy,40
