metric,value_column,metric_description,profile_label,benchmark,method_label,attempted_runs,successful_runs,fastest_value_ms,fastest_transfer_mode,fastest_run_id,fastest_checkpoint_ms,fastest_transfer_ms,fastest_restore_ms,fastest_predump_ms,slowest_value_ms,slowest_transfer_mode,slowest_run_id,slowest_checkpoint_ms,slowest_transfer_ms,slowest_restore_ms,slowest_predump_ms
migration_time,migration_time_ms,setup-excluded migration time,WiFi 6,TCP Client (CRIU),Pre-copy,79,79,32609.0,direct,06-05-2026-direct-precopy-0039,317.0,1624.0,321.0,15689.0,45047.0,host,06-05-2026-host-precopy-0013,354.0,2623.0,432.0,27975.0
migration_time,migration_time_ms,setup-excluded migration time,WiFi 6,TCP Client (CRIU),Post-copy,78,78,17866.0,host,06-05-2026-host-postcopy-0005,858.0,2683.0,352.0,0.0,20205.0,direct,06-05-2026-direct-postcopy-0017,839.0,1593.0,362.0,0.0
migration_time,migration_time_ms,setup-excluded migration time,5G,TCP Client (CRIU),Cold,80,80,15973.0,host,10-05-2026-host-cold-0037,310.0,3165.0,300.0,0.0,17547.0,direct,10-05-2026-direct-cold-0003,346.0,1772.0,377.0,0.0
migration_time,migration_time_ms,setup-excluded migration time,5G,TCP Client (CRIU),Pre-copy,80,79,33503.0,direct,10-05-2026-direct-precopy-0002,297.0,1720.0,305.0,16707.0,46914.0,host,10-05-2026-host-precopy-0015,361.0,3294.0,299.0,29757.0
migration_time,migration_time_ms,setup-excluded migration time,5G,TCP Client (CRIU),Post-copy,80,80,18320.0,host,10-05-2026-host-postcopy-0002,773.0,3065.0,391.0,0.0,20198.0,direct,10-05-2026-direct-postcopy-0004,771.0,1847.0,355.0,0.0
migration_time,migration_time_ms,setup-excluded migration time,LTE,TCP Client (CRIU),Cold,80,80,18372.0,host,11-05-2026-host-cold-0013,310.0,5533.0,340.0,0.0,19692.0,host,11-05-2026-host-cold-0020,542.0,5747.0,556.0,0.0
migration_time,migration_time_ms,setup-excluded migration time,LTE,TCP Client (CRIU),Pre-copy,80,80,41386.0,direct,11-05-2026-direct-precopy-0008,286.0,2963.0,305.0,22225.0,61254.0,host,11-05-2026-host-precopy-0010,311.0,5705.0,296.0,42267.0
migration_time,migration_time_ms,setup-excluded migration time,LTE,TCP Client (CRIU),Post-copy,80,80,20858.0,host,11-05-2026-host-postcopy-0018,724.0,5521.0,500.0,0.0,22304.0,host,11-05-2026-host-postcopy-0012,787.0,5956.0,505.0,0.0
migration_time,migration_time_ms,setup-excluded migration time,Starlink,TCP Client (CRIU),Cold,80,80,18868.0,host,12-05-2026-host-cold-0038,314.0,6033.0,307.0,0.0,21041.0,direct,12-05-2026-direct-cold-0008,333.0,5160.0,293.0,0.0
migration_time,migration_time_ms,setup-excluded migration time,Starlink,TCP Client (CRIU),Pre-copy,80,76,43213.0,direct,12-05-2026-direct-precopy-0019,277.0,3148.0,304.0,23920.0,65683.0,host,12-05-2026-host-precopy-0017,309.0,6785.0,316.0,45338.0
