metric,benchmark,profile,method,fastest,slowest,successes
migration_time_ms,Counter (CRIU),5G,Cold,"\shortstack[l]{host / 10\,336\\C/T/R/O: 621/3\,177/313/6\,225}","\shortstack[l]{direct / 11\,555\\C/T/R/O: 570/2\,062/310/8\,613}",80/80
migration_time_ms,Counter (CRIU),5G,Pre-copy,"\shortstack[l]{direct / 27\,501\\C/T/R/O: 578/1\,754/298/24\,871\\P: 16\,650}","\shortstack[l]{host / 40\,577\\C/T/R/O: 958/3\,088/301/36\,230\\P: 30\,169}",80/80
migration_time_ms,Counter (CRIU),5G,Post-copy,"\shortstack[l]{host / 14\,095\\C/T/R/O: 1\,000/3\,274/323/9\,498}","\shortstack[l]{direct / 16\,977\\C/T/R/O: 1\,002/1\,770/392/13\,813}",80/80
migration_time_ms,Counter (CRIU),LTE,Cold,"\shortstack[l]{host / 12\,782\\C/T/R/O: 594/5\,564/289/6\,335}","\shortstack[l]{host / 14\,099\\C/T/R/O: 756/5\,744/505/7\,094}",79/80
migration_time_ms,Counter (CRIU),LTE,Pre-copy,"\shortstack[l]{direct / 34\,638\\C/T/R/O: 561/2\,924/291/30\,862\\P: 22\,119}","\shortstack[l]{host / 54\,801\\C/T/R/O: 659/5\,707/310/48\,125\\P: 41\,800}",80/80
migration_time_ms,Counter (CRIU),LTE,Post-copy,"\shortstack[l]{host / 17\,612\\C/T/R/O: 1\,097/5\,509/529/10\,477}","\shortstack[l]{host / 19\,387\\C/T/R/O: 1\,040/6\,687/521/11\,139}",80/80
migration_time_ms,Counter (CRIU),Starlink,Cold,"\shortstack[l]{direct / 13\,205\\C/T/R/O: 543/3\,228/311/9\,123}","\shortstack[l]{host / 16\,099\\C/T/R/O: 720/7\,936/412/7\,031}",80/80
migration_time_ms,Counter (CRIU),Starlink,Pre-copy,"\shortstack[l]{direct / 36\,874\\C/T/R/O: 578/3\,190/343/32\,763\\P: 23\,905}","\shortstack[l]{host / 59\,108\\C/T/R/O: 607/6\,484/313/51\,704\\P: 45\,434}",80/80
migration_time_ms,Counter (CRIU),Starlink,Post-copy,"\shortstack[l]{direct / 18\,133\\C/T/R/O: 983/3\,115/454/13\,581}","\shortstack[l]{direct / 20\,626\\C/T/R/O: 1\,056/3\,474/501/15\,595}",80/80
migration_time_ms,Counter (CRIU),TEE Best,Cold,"\shortstack[l]{direct / 23\,992\\C/T/R/O: 613/10\,021/300/13\,058}","\shortstack[l]{host / 39\,999\\C/T/R/O: 692/32\,633/376/6\,298}",80/80
