transfer_mode,profile_label,benchmark,method_label,attempted_runs,successful_runs
direct,TEE Avg,Counter (CRIU),Cold,40,40
direct,TEE Avg,Counter (CRIU),Pre-copy,40,39
direct,TEE Avg,Counter (CRIU),Post-copy,40,40
host,TEE Avg,Counter (CRIU),Cold,40,40
host,TEE Avg,Counter (CRIU),Pre-copy,40,39
host,TEE Avg,Counter (CRIU),Post-copy,40,40
direct,TEE Avg,TCP Client (CRIU),Cold,40,38
direct,TEE Avg,TCP Client (CRIU),Pre-copy,40,28
direct,TEE Avg,TCP Client (CRIU),Post-copy,40,32
host,TEE Avg,TCP Client (CRIU),Cold,40,36
host,TEE Avg,TCP Client (CRIU),Pre-copy,40,30
host,TEE Avg,TCP Client (CRIU),Post-copy,40,36
direct,TEE Avg,Game of Life (CRIU),Cold,40,40
direct,TEE Avg,Game of Life (CRIU),Pre-copy,40,40
direct,TEE Avg,Game of Life (CRIU),Post-copy,40,0
host,TEE Avg,Game of Life (CRIU),Cold,40,39
host,TEE Avg,Game of Life (CRIU),Pre-copy,40,39
host,TEE Avg,Game of Life (CRIU),Post-copy,40,0
direct,TEE Avg,WebAssembly,Wasm,40,40
host,TEE Avg,WebAssembly,Wasm,40,39
direct,TEE Worst,Counter (CRIU),Cold,29,29
direct,TEE Worst,Counter (CRIU),Pre-copy,30,30
direct,TEE Worst,Counter (CRIU),Post-copy,30,30
host,TEE Worst,Counter (CRIU),Cold,30,30
host,TEE Worst,Counter (CRIU),Pre-copy,30,29
host,TEE Worst,Counter (CRIU),Post-copy,30,30
direct,TEE Worst,TCP Client (CRIU),Cold,30,27
direct,TEE Worst,TCP Client (CRIU),Pre-copy,30,17
direct,TEE Worst,TCP Client (CRIU),Post-copy,30,14
host,TEE Worst,TCP Client (CRIU),Cold,30,25
host,TEE Worst,TCP Client (CRIU),Pre-copy,30,17
host,TEE Worst,TCP Client (CRIU),Post-copy,30,10
direct,TEE Worst,WebAssembly,Wasm,30,30
host,TEE Worst,WebAssembly,Wasm,30,30
