run_id,technology,migration_method,network_migration,checkpoint_ms,checkpoint_us,checkpoint_ns,archive_bytes,transfer_ms,restore_ms,downtime_ms,bandwidth_mbps,src_arch,dst_arch,same_arch,success,notes,timestamp,profile_name,predump_ms,final_dump_ms,total_ms,lazy_pages_active_ms,lazy_pages_log_bytes
28-04-2026-direct-cold-0030,WASM,cold,no,1,129.0,128199.0,2018,2466,2006,4473,0.01,x86_64,x86_64,True,True,transfer_mode=direct;module=3mm_with_cr.wasm,2026-04-28T15:38:48.299188,,0,1,10303,0,0
28-04-2026-direct-cold-0031,WASM,cold,no,1,130.0,129601.0,2019,2467,1963,4431,0.01,x86_64,x86_64,True,True,transfer_mode=direct;module=3mm_with_cr.wasm,2026-04-28T15:39:04.877038,,0,1,10279,0,0
28-04-2026-direct-cold-0032,WASM,cold,no,1,143.0,142498.0,2019,2439,1945,4385,0.01,x86_64,x86_64,True,True,transfer_mode=direct;module=3mm_with_cr.wasm,2026-04-28T15:39:21.436170,,0,1,10211,0,0
28-04-2026-direct-cold-0033,WASM,cold,no,1,149.0,148049.0,2019,2721,1982,4704,0.01,x86_64,x86_64,True,True,transfer_mode=direct;module=3mm_with_cr.wasm,2026-04-28T15:39:38.533635,,0,1,10517,0,0
28-04-2026-direct-cold-0034,WASM,cold,no,1,127.0,126054.0,2020,2485,1988,4474,0.01,x86_64,x86_64,True,True,transfer_mode=direct;module=3mm_with_cr.wasm,2026-04-28T15:39:55.243074,,0,1,10332,0,0
28-04-2026-direct-cold-0035,WASM,cold,no,1,136.0,135193.0,2014,2456,1988,4445,0.01,x86_64,x86_64,True,True,transfer_mode=direct;module=3mm_with_cr.wasm,2026-04-28T15:40:11.878023,,0,1,10362,0,0
28-04-2026-direct-cold-0036,WASM,cold,no,1,127.0,126734.0,2019,2492,1986,4479,0.01,x86_64,x86_64,True,True,transfer_mode=direct;module=3mm_with_cr.wasm,2026-04-28T15:40:28.749243,,0,1,10555,0,0
28-04-2026-direct-cold-0037,WASM,cold,no,1,135.0,134601.0,2020,2446,2224,4671,0.01,x86_64,x86_64,True,True,transfer_mode=direct;module=3mm_with_cr.wasm,2026-04-28T15:40:45.912484,,0,1,10562,0,0
28-04-2026-direct-cold-0038,WASM,cold,no,1,127.0,126985.0,2019,2476,2213,4690,0.01,x86_64,x86_64,True,True,transfer_mode=direct;module=3mm_with_cr.wasm,2026-04-28T15:41:03.094522,,0,1,10626,0,0
28-04-2026-direct-cold-0039,WASM,cold,no,1,137.0,136315.0,2018,2441,1968,4410,0.01,x86_64,x86_64,True,True,transfer_mode=direct;module=3mm_with_cr.wasm,2026-04-28T15:41:19.673378,,0,1,10227,0,0
